transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost
53,6,3455,2017-12-21,True,Approved,OHM Cycles,Standard,high,medium,"227,88","136,73"
54,27,2549,2017-02-09,True,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
55,0,3140,2017-09-18,False,Approved,Norco Bicycles,Standard,low,medium,"363,01","290,41"
56,47,3406,2017-11-14,False,Approved,Trek Bicycles,Road,low,small,"1720,7","1531,42"
57,94,2294,2017-08-30,True,Approved,Giant Bicycles,Standard,medium,large,"1635,3","993,66"
58,91,1031,2017-11-14,False,Approved,Solex,Standard,medium,medium,"100,35","75,26"
59,93,993,2017-02-15,True,Approved,OHM Cycles,Standard,high,medium,"1458,17","874,90"
60,60,3473,2017-12-18,False,Approved,Giant Bicycles,Standard,high,small,"1977,36","1759,85"
61,0,1839,2017-02-24,False,Approved,OHM Cycles,Road,high,large,"12,01","7,21"
62,33,1824,2017-12-18,True,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
63,35,368,2017-12-17,False,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
64,0,2000,2017-07-08,False,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
65,28,825,2017-05-16,True,Approved,Norco Bicycles,Standard,medium,small,"1216,14","1082,36"
66,86,3315,2017-02-23,True,Approved,OHM Cycles,Standard,medium,medium,"235,63","125,07"
67,2,75,2017-07-03,True,Approved,Solex,Standard,medium,medium,"71,49","53,62"
68,4,1498,2017-09-30,True,Approved,Giant Bicycles,Standard,high,medium,"1129,13","677,48"
69,38,1612,2017-10-21,True,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
70,27,2192,2017-05-06,True,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
71,54,419,2017-01-03,False,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
72,77,3307,2017-05-09,True,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
73,22,2430,2017-07-23,False,Approved,WeareA2B,Standard,medium,medium,"60,34","45,26"
74,56,1506,2017-01-21,True,Approved,OHM Cycles,Standard,medium,medium,"183,86","137,90"
75,58,1346,2017-06-20,False,Approved,OHM Cycles,Standard,medium,medium,"912,52","141,40"
76,22,927,2017-03-10,False,Approved,WeareA2B,Standard,medium,medium,"60,34","45,26"
77,50,763,2017-06-02,False,Approved,WeareA2B,Standard,medium,small,"175,89","131,92"
78,80,2397,2017-11-07,False,Approved,OHM Cycles,Touring,low,medium,"1073,07","933,84"
79,87,102,2017-09-12,True,Approved,Giant Bicycles,Standard,high,medium,1179,"707,40"
80,15,2884,2017-12-16,False,Approved,Norco Bicycles,Standard,low,medium,"958,74","748,90"
81,84,759,2017-10-07,True,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
82,21,773,2017-04-27,True,Approved,Solex,Standard,medium,large,"1071,23","380,74"
83,0,3398,2017-04-01,True,Approved,OHM Cycles,Standard,medium,medium,"235,63","125,07"
84,33,3297,2017-11-02,True,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
85,84,2434,2017-02-13,True,Approved,Trek Bicycles,Road,medium,medium,"290,62","215,14"
86,1,1861,2017-07-19,False,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
87,27,1233,2017-05-23,False,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
88,31,1390,2017-08-06,False,Approved,WeareA2B,Standard,medium,medium,"752,64","205,36"
89,0,2682,2017-04-04,True,Approved,OHM Cycles,Road,high,large,"12,01","7,21"
90,62,439,2017-08-15,True,Approved,Solex,Standard,medium,medium,"478,16","298,72"
91,17,1579,2017-04-15,True,Approved,Solex,Standard,high,medium,"1024,66","614,80"
92,73,2984,2017-07-25,True,Approved,Solex,Standard,medium,medium,"1945,43","333,18"
93,33,3470,2017-11-28,True,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
94,86,1,2017-12-23,False,Approved,OHM Cycles,Standard,medium,medium,"235,63","125,07"
95,45,757,2017-02-26,False,Approved,Solex,Standard,medium,medium,"441,49","84,99"
96,1,1778,2017-02-21,False,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
97,80,211,2017-05-31,True,Approved,OHM Cycles,Touring,low,medium,"1073,07","933,84"
98,49,333,2017-06-23,,Approved,Trek Bicycles,Road,medium,medium,"533,51","400,13"
99,95,32,2017-03-26,False,Approved,Giant Bicycles,Standard,medium,large,"569,56","528,43"
100,0,119,2017-07-31,False,Approved,Solex,Standard,medium,medium,"478,16","298,72"
101,18,2347,2017-07-27,False,Approved,Norco Bicycles,Standard,high,medium,"1148,64","689,18"
102,4,2353,2017-04-14,False,Approved,Giant Bicycles,Standard,high,medium,"1129,13","677,48"
103,33,788,2017-11-12,False,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
104,78,1468,2017-09-12,False,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
105,89,821,2017-10-26,False,Approved,WeareA2B,Touring,medium,large,"1362,99","57,74"
106,70,2489,2017-02-15,False,Approved,Trek Bicycles,Standard,high,medium,"495,72","297,43"
107,79,2710,2017-12-22,False,Approved,Norco Bicycles,Standard,medium,medium,"1555,58","818,01"
108,26,947,2017-10-11,True,Approved,WeareA2B,Standard,medium,medium,"1992,93","762,63"
109,39,1335,2017-03-27,True,Approved,Giant Bicycles,Standard,medium,large,"1812,75","582,48"
110,36,1076,2017-11-04,False,Approved,Solex,Standard,low,medium,"945,04","507,58"
111,0,3320,2017-06-11,True,Approved,OHM Cycles,Standard,low,medium,"71,16","56,93"
112,84,779,2017-10-09,False,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
113,98,3296,2017-06-07,True,Approved,Trek Bicycles,Standard,high,medium,"358,39","215,03"
114,75,455,2017-10-24,True,Approved,Giant Bicycles,Touring,medium,large,"1873,97","863,95"
115,76,1779,2017-05-01,False,Approved,WeareA2B,Standard,low,medium,"642,31","513,85"
116,72,2703,2017-11-21,True,Approved,Norco Bicycles,Standard,medium,medium,"360,4","270,30"
117,42,806,2017-03-24,False,Approved,OHM Cycles,Road,medium,small,1810,"1610,90"
118,20,22,2017-03-21,False,Approved,Trek Bicycles,Standard,medium,small,"1775,81","1580,47"
119,64,1591,2017-02-20,False,Approved,Trek Bicycles,Standard,medium,large,"1469,44","596,55"
120,0,678,2017-06-16,False,Approved,Trek Bicycles,Standard,high,medium,"495,72","297,43"
121,25,50,2017-12-04,False,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
122,24,1038,2017-12-01,True,Approved,Solex,Road,medium,large,"1777,8","820,78"
123,31,1453,2017-03-05,True,Approved,WeareA2B,Standard,medium,medium,"752,64","205,36"
124,98,1339,2017-03-21,False,Approved,OHM Cycles,Standard,medium,medium,"795,34","101,58"
125,22,3382,2017-01-03,True,Approved,Solex,Standard,medium,medium,"575,27","431,45"
126,53,773,2017-04-01,False,Approved,OHM Cycles,Standard,medium,medium,"795,34","101,58"
127,84,2503,2017-03-16,True,Approved,Trek Bicycles,Road,medium,medium,"290,62","215,14"
128,25,1057,2017-02-26,False,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
129,50,1397,2017-06-05,False,Approved,WeareA2B,Standard,medium,small,"175,89","131,92"
130,44,2134,2017-09-04,False,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
131,96,2403,2017-01-18,True,Approved,WeareA2B,Road,low,small,"1172,78","1043,77"
132,12,1937,2017-09-28,False,Approved,WeareA2B,Standard,medium,medium,"1231,15","161,60"
133,93,1282,2017-09-02,True,Approved,WeareA2B,Standard,medium,medium,"1065,03","230,09"
134,78,2183,2017-05-09,False,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
135,84,1788,2017-10-17,False,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
136,65,1170,2017-04-25,True,Approved,WeareA2B,Standard,medium,medium,"1807,45","778,69"
137,0,431,2017-09-23,False,Approved,,,,,"1942,61",
138,29,1940,2017-08-02,False,Approved,WeareA2B,Standard,medium,medium,"1065,03","230,09"
139,32,2073,2017-03-25,False,Cancelled,Giant Bicycles,Standard,high,medium,1179,"707,40"
140,11,462,2017-01-01,False,Approved,Giant Bicycles,Standard,high,medium,"1274,93","764,96"
141,10,2728,2017-12-22,False,Approved,Solex,Standard,medium,medium,"1945,43","333,18"
142,46,2053,2017-12-25,False,Approved,Solex,Standard,low,medium,"1289,85","74,51"
143,60,2135,2017-01-26,True,Approved,Giant Bicycles,Standard,high,small,"1977,36","1759,85"
144,92,1217,2017-12-20,False,Approved,WeareA2B,Touring,medium,large,"1890,39","260,14"
145,7,2992,2017-06-07,True,Approved,Trek Bicycles,Road,low,medium,"980,37","234,43"
146,41,3261,2017-04-06,True,Approved,Solex,Road,medium,medium,"416,98","312,74"
147,67,2748,2017-04-25,True,Approved,Norco Bicycles,Road,medium,medium,"544,05","376,84"
148,14,3262,2017-01-13,False,Approved,Trek Bicycles,Standard,medium,small,"1386,84","1234,29"
149,89,788,2017-03-21,False,Approved,WeareA2B,Touring,medium,large,"1362,99","57,74"
150,9,3067,2017-11-21,True,Approved,OHM Cycles,Road,medium,medium,"742,54","667,40"
151,31,701,2017-11-11,False,Approved,Giant Bicycles,Standard,medium,medium,"230,91","173,18"
152,92,648,2017-10-16,False,Approved,WeareA2B,Standard,medium,small,"1415,01","1259,36"
153,37,3286,2017-08-19,True,Approved,OHM Cycles,Standard,low,medium,"1793,43","248,82"
154,3,3383,2017-04-06,True,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
155,56,982,2017-11-04,True,Approved,Norco Bicycles,Mountain,low,small,"688,63","612,88"
156,14,676,2017-08-22,True,Approved,Solex,Standard,high,large,"1842,92","1105,75"
157,6,385,2017-09-15,True,Approved,Solex,Standard,high,medium,"748,17","448,90"
158,50,1229,2017-03-01,True,Approved,WeareA2B,Standard,medium,small,"175,89","131,92"
159,10,3232,2017-08-16,False,Approved,WeareA2B,Touring,medium,medium,"1466,68","363,25"
160,0,3300,2017-08-27,False,Approved,,,,,"1656,86",
161,69,2381,2017-07-10,False,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
162,78,371,2017-12-11,False,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
163,80,2519,2017-05-20,True,Approved,OHM Cycles,Touring,low,medium,"1073,07","933,84"
164,17,2264,2017-07-30,False,Approved,Solex,Standard,high,medium,"1024,66","614,80"
165,3,2637,2017-10-25,True,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
166,78,3262,2017-11-27,False,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
167,90,3177,2017-04-26,,Approved,Norco Bicycles,Standard,low,medium,"363,01","290,41"
168,87,2267,2017-02-02,False,Approved,Giant Bicycles,Standard,high,medium,1179,"707,40"
169,97,456,2017-05-02,False,Approved,Solex,Standard,medium,large,"202,62","151,96"
170,6,404,2017-10-16,,Approved,OHM Cycles,Standard,high,medium,"227,88","136,73"
171,100,3121,2017-10-22,False,Approved,Norco Bicycles,Road,medium,medium,"1036,59","206,35"
172,55,2365,2017-04-11,True,Approved,Trek Bicycles,Road,medium,large,"1894,19","598,76"
173,100,2528,2017-11-16,False,Approved,Norco Bicycles,Road,medium,medium,"1036,59","206,35"
174,10,3151,2017-12-17,False,Approved,WeareA2B,Touring,medium,medium,"1466,68","363,25"
175,25,3241,2017-12-23,False,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
176,74,1335,2017-03-30,True,Approved,WeareA2B,Standard,medium,medium,"1228,07","400,91"
177,90,2234,2017-04-13,False,Approved,Norco Bicycles,Standard,low,medium,"363,01","290,41"
178,56,3226,2017-07-25,True,Approved,OHM Cycles,Standard,medium,medium,"183,86","137,90"
179,62,1365,2017-01-31,False,Approved,Solex,Standard,medium,medium,"478,16","298,72"
180,20,3349,2017-03-18,True,Approved,Trek Bicycles,Standard,medium,small,"1775,81","1580,47"
181,17,1002,2017-02-24,False,Approved,Solex,Standard,high,medium,"1024,66","614,80"
182,16,2282,2017-02-18,False,Approved,Norco Bicycles,Standard,high,small,"1661,92","1479,11"
183,46,2656,2017-01-07,False,Approved,Solex,Standard,low,medium,"1289,85","74,51"
184,71,2409,2017-07-05,True,Approved,Solex,Standard,high,large,"1842,92","1105,75"
185,91,1711,2017-11-19,False,Approved,WeareA2B,Standard,low,medium,"642,31","513,85"
186,17,2582,2017-11-08,True,Approved,Solex,Standard,high,medium,"1024,66","614,80"
187,1,1005,2017-07-24,True,Approved,Giant Bicycles,Touring,medium,large,"1873,97","863,95"
188,3,1597,2017-01-15,True,Approved,Trek Bicycles,Standard,medium,large,"2091,47","388,92"
189,56,2713,2017-01-12,True,Approved,OHM Cycles,Standard,medium,medium,"183,86","137,90"
190,37,1435,2017-11-27,True,Approved,OHM Cycles,Standard,low,medium,"1793,43","248,82"
191,34,1477,2017-06-30,True,Approved,Norco Bicycles,Road,high,large,"774,53","464,72"
192,0,1614,2017-07-15,True,Approved,Giant Bicycles,Standard,medium,medium,"230,91","173,18"
193,12,1254,2017-06-22,True,Approved,WeareA2B,Standard,medium,medium,"1231,15","161,60"
194,25,1423,2017-05-02,False,Approved,Giant Bicycles,Road,medium,medium,"1538,99","829,65"
195,81,276,2017-12-27,False,Approved,Norco Bicycles,Standard,medium,small,"586,45","521,94"
196,19,1315,2017-12-21,True,Approved,OHM Cycles,Road,high,large,"12,01","7,21"
197,45,591,2017-05-23,True,Approved,Solex,Standard,medium,medium,"441,49","84,99"
198,74,1017,2017-02-02,False,Approved,WeareA2B,Standard,medium,medium,"1762,96","950,52"
199,33,2123,2017-06-08,False,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
200,57,2889,2017-04-15,True,Approved,WeareA2B,Touring,medium,large,"1890,39","260,14"
201,0,3208,2017-09-05,True,Approved,Trek Bicycles,Road,medium,medium,"533,51","400,13"
202,23,2406,2017-02-26,True,Approved,Norco Bicycles,Mountain,low,small,"688,63","612,88"
203,67,2041,2017-07-29,False,Approved,Norco Bicycles,Road,medium,medium,"544,05","376,84"
204,81,1598,2017-07-03,True,Approved,Norco Bicycles,Standard,medium,small,"586,45","521,94"
205,58,1842,2017-05-27,True,Approved,OHM Cycles,Standard,medium,medium,"912,52","141,40"
206,5,141,2017-05-05,False,Approved,Giant Bicycles,Standard,high,medium,"1129,13","677,48"
207,94,1321,2017-09-09,False,Approved,Giant Bicycles,Standard,medium,large,"1635,3","993,66"
208,51,183,2017-05-21,False,Approved,OHM Cycles,Standard,high,medium,"2005,66","1203,40"
209,59,2591,2017-09-22,False,Approved,WeareA2B,Standard,medium,small,"1415,01","1259,36"
210,63,3356,2017-04-12,True,Approved,Solex,Standard,medium,medium,"1483,2","99,59"
211,40,766,2017-05-07,True,Approved,OHM Cycles,Standard,high,medium,"1458,17","874,90"
212,80,1596,2017-01-13,False,Approved,Trek Bicycles,Standard,medium,large,"1469,44","596,55"
213,82,520,2017-12-14,False,Approved,Norco Bicycles,Standard,high,medium,"1148,64","689,18"
214,46,868,2017-03-22,True,Approved,Solex,Standard,low,medium,"1289,85","74,51"
215,78,2999,2017-09-30,False,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
216,72,352,2017-11-29,True,Approved,Norco Bicycles,Standard,medium,medium,"360,4","270,30"
217,75,1140,2017-06-09,False,Approved,Giant Bicycles,Touring,medium,large,"1873,97","863,95"
218,40,621,2017-04-21,False,Approved,Trek Bicycles,Road,medium,large,"1894,19","598,76"
219,2,3307,2017-11-13,False,Approved,Giant Bicycles,Road,low,small,"590,26","525,33"
220,10,1502,2017-04-09,True,Approved,WeareA2B,Touring,medium,medium,"1466,68","363,25"
221,35,936,2017-05-08,False,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
222,8,939,2017-07-08,True,Approved,Solex,Road,medium,small,"1703,52","1516,13"
223,2,2698,2017-11-30,False,Approved,Giant Bicycles,Road,low,small,"590,26","525,33"
224,69,579,2017-04-25,True,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
225,54,2036,2017-03-30,True,Approved,WeareA2B,Standard,medium,medium,"1292,84","13,44"
226,8,3077,2017-03-10,False,Approved,Solex,Road,medium,small,"1703,52","1516,13"
227,86,369,2017-03-16,True,Approved,OHM Cycles,Standard,medium,medium,"235,63","125,07"
228,13,821,2017-04-04,True,Approved,Solex,Standard,medium,medium,"1163,89","589,27"
229,19,2687,2017-03-13,True,Approved,Trek Bicycles,Mountain,low,medium,"574,64","459,71"
230,86,681,2017-12-23,True,Approved,OHM Cycles,Standard,medium,medium,"235,63","125,07"
231,46,37,2017-08-12,True,Approved,OHM Cycles,Standard,low,medium,"1793,43","248,82"
232,30,3002,2017-08-04,False,Approved,Solex,Standard,high,medium,"748,17","448,90"
233,92,396,2017-09-01,False,Approved,WeareA2B,Touring,medium,large,"1890,39","260,14"
234,71,550,2017-09-01,True,Approved,Solex,Standard,high,large,"1842,92","1105,75"
235,77,1605,2017-07-02,False,Approved,Norco Bicycles,Road,medium,large,"1240,31","795,10"
236,7,2325,2017-08-31,True,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
237,23,1420,2017-03-11,True,Approved,Norco Bicycles,Mountain,low,small,"688,63","612,88"
238,12,3099,2017-10-08,False,Approved,WeareA2B,Standard,medium,medium,"1231,15","161,60"
239,61,1645,2017-10-01,True,Approved,OHM Cycles,Standard,low,medium,"71,16","56,93"
240,21,546,2017-11-23,False,Approved,Solex,Standard,medium,large,"1071,23","380,74"
241,86,2885,2017-03-27,True,Approved,OHM Cycles,Standard,medium,medium,"235,63","125,07"
242,57,2740,2017-12-04,False,Approved,WeareA2B,Touring,medium,large,"1890,39","260,14"
243,63,3166,2017-11-13,True,Approved,Solex,Standard,medium,medium,"1483,2","99,59"
244,63,3487,2017-12-20,True,Approved,WeareA2B,Standard,medium,medium,"1992,93","762,63"
245,33,2890,2017-09-22,True,Approved,Giant Bicycles,Standard,medium,small,"1311,44","1167,18"
246,98,3370,2017-01-22,False,Approved,OHM Cycles,Standard,medium,medium,"795,34","101,58"
247,15,3393,2017-01-29,True,Approved,Norco Bicycles,Standard,low,medium,"958,74","748,90"
248,57,2410,2017-07-21,False,Approved,WeareA2B,Touring,medium,large,"1890,39","260,14"
249,61,3466,2017-02-10,True,Approved,OHM Cycles,Standard,low,medium,"71,16","56,93"
250,48,1454,2017-11-25,False,Cancelled,WeareA2B,Standard,medium,medium,"1762,96","950,52"
251,63,1967,2017-04-11,,Approved,Solex,Standard,medium,medium,"1483,2","99,59"
252,78,3089,2017-12-03,False,Approved,Giant Bicycles,Standard,medium,large,"1765,3","709,48"
253,2,3123,2017-12-30,False,Approved,Giant Bicycles,Road,low,small,"590,26","525,33"
254,67,2692,2017-07-26,False,Approved,Solex,Standard,medium,large,"1071,23","380,74"
255,67,2801,2017-04-01,True,Cancelled,Norco Bicycles,Road,medium,medium,"544,05","376,84"
256,13,1580,2017-10-22,True,Approved,Solex,Standard,medium,medium,"1577,53","826,51"
257,65,352,2017-03-22,False,Approved,WeareA2B,Standard,medium,medium,"1807,45","778,69"
258,49,1777,2017-06-15,True,Approved,Trek Bicycles,Road,medium,medium,"533,51","400,13"
259,87,142,2017-07-06,True,Approved,Giant Bicycles,Standard,high,medium,1179,"707,40"
260,31,3393,2017-12-28,False,Approved,Giant Bicycles,Standard,medium,medium,"230,91","173,18"
261,17,599,2017-05-09,False,Approved,Solex,Standard,high,medium,"1024,66","614,80"
262,91,1258,2017-01-18,False,Approved,Solex,Standard,medium,medium,"100,35","75,26"
263,53,3405,2017-10-22,True,Approved,OHM Cycles,Standard,medium,medium,"795,34","101,58"
264,38,3198,2017-01-30,False,Approved,Solex,Standard,medium,medium,"1577,53","826,51"
265,20,834,2017-06-26,False,Approved,Trek Bicycles,Standard,medium,small,"1775,81","1580,47"
266,44,3467,2017-11-07,True,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
267,69,3436,2017-08-13,True,Approved,Giant Bicycles,Road,medium,medium,"792,9","594,68"
268,68,1516,2017-08-27,False,Approved,OHM Cycles,Standard,medium,medium,"1636,9","44,71"
269,11,2833,2017-01-25,True,Approved,Giant Bicycles,Standard,high,medium,"1274,93","764,96"
270,2,2362,2017-02-13,False,Approved,Solex,Standard,medium,medium,"71,49","53,62"
271,27,2337,2017-07-11,False,Approved,Trek Bicycles,Standard,medium,medium,"499,53","388,72"
272,0,2149,2017-04-30,True,Approved,Trek Bicycles,Standard,high,medium,"358,39","215,03"
273,81,2133,2017-05-19,False,Approved,Solex,Standard,medium,medium,"1151,96","649,49"
274,6,360,2017-05-26,True,Approved,OHM Cycles,Standard,high,medium,"227,88","136,73"
275,76,2969,2017-02-03,True,Approved,WeareA2B,Standard,low,medium,"642,31","513,85"
276,18,1720,2017-04-28,False,Approved,Solex,Standard,medium,medium,"575,27","431,45"
277,18,2904,2017-03-23,False,Approved,Norco Bicycles,Standard,high,medium,"1148,64","689,18"
278,9,754,2017-06-03,False,Approved,OHM Cycles,Road,medium,medium,"742,54","667,40"
279,35,1826,2017-04-25,False,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
280,93,2487,2017-04-08,False,Approved,WeareA2B,Standard,medium,medium,"1065,03","230,09"
281,40,2815,2017-02-18,False,Approved,OHM Cycles,Standard,high,medium,"1458,17","874,90"
282,1,541,2017-05-04,False,Approved,Giant Bicycles,Standard,medium,medium,"1403,5","954,82"
283,16,302,2017-03-29,False,Approved,Norco Bicycles,Standard,high,small,"1661,92","1479,11"
284,44,2024,2017-10-03,True,Approved,WeareA2B,Standard,medium,medium,"1769,64","108,76"
285,48,142,2017-07-27,True,Approved,WeareA2B,Standard,medium,medium,"1762,96","950,52"
286,56,768,2017-08-07,True,Approved,OHM Cycles,Standard,medium,medium,"183,86","137,90"
287,36,2147,2017-02-07,True,Approved,Solex,Standard,low,medium,"1289,85","74,51"
288,36,529,2017-11-20,True,Approved,Solex,Standard,low,medium,"945,04","507,58"
289,13,825,2017-02-23,False,Approved,Solex,Standard,medium,medium,"1163,89","589,27"
290,55,624,2017-04-05,True,Approved,Trek Bicycles,Road,medium,large,"1894,19","598,76"
291,38,2302,2017-11-07,False,Approved,Solex,Standard,medium,medium,"1577,53","826,51"
292,64,3380,2017-10-28,False,Approved,Giant Bicycles,Standard,high,small,"1977,36","1759,85"
293,0,314,2017-11-19,False,Approved,OHM Cycles,Standard,high,medium,"227,88","136,73"
294,79,1079,2017-08-25,True,Approved,Norco Bicycles,Standard,medium,medium,"1555,58","818,01"
